iter,id,x,y,h,w,cam_x,cam_y,cam_z,rxy,rxz
135,1,111,135,3,3,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0341832792361774,-0.08530284864079149
136,1,110,141,3,3,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.03834233326163,-0.04884607058032144
136,2,110,140,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0412489829245488,-0.06250373105807071
137,1,114,142,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0287414825444694,-0.04602460166540671
137,2,108,141,5,6,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0385007989355726,-0.04253400281142853
138,1,112,144,2,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.032401445263206,-0.028262612001944947
138,2,108,142,2,3,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0449635997907558,-0.04439230819667869
139,1,111,142,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.03834233326163,-0.04884607058032144
139,2,108,140,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0477325982234758,-0.06466986543187203
140,1,106,134,2,3,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.050189111855505,-0.09801455053285367
141,1,106,132,2,3,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0498678745689622,-0.1108227997588475
142,1,106,132,4,3,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0500284784147693,-0.10442535675965174
142,2,106,133,3,3,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0500284784147693,-0.10442535675965174
143,1,111,136,2,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0375504486845752,-0.08026990992771516
143,2,106,134,5,3,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.050349774891058,-0.09159086772401716
